% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.163851000e+04 +1.163851000e+04 +1.117642000e+04 +1.117642000e+04 +4.9017e+00 +1.4618e+01
11 +7.052741422e+03 +7.052741422e+03 +6.590651422e+03 +6.590651422e+03 +6.7729e-01 -1.1818e+01
13 +4.661265424e+03 +4.661265424e+03 +4.199175424e+03 +4.199175424e+03 -5.6434e+00 +1.1181e+01
63 +3.282870794e+03 +3.282870794e+03 +2.820780794e+03 +2.820780794e+03 -1.0438e+01 -1.0211e+00
81 +2.475189759e+03 +2.475189759e+03 +2.013099759e+03 +2.013099759e+03 -4.3937e-01 +9.3547e+00
129 +1.730290077e+02 +1.730290077e+02 -2.890609923e+02 -2.890609923e+02 +3.3652e+00 +3.9495e-01
161 +1.214950269e+01 +1.214950269e+01 -4.499404973e+02 -4.499404973e+02 +1.8564e-01 +1.6003e+00
1939 +9.833950277e+00 +9.833950277e+00 -4.522560497e+02 -4.522560497e+02 +5.2165e-01 +1.6049e+00
10872 +6.254540065e+00 +6.254540065e+00 -4.558354599e+02 -4.558354599e+02 +2.2936e+00 +1.6506e+00
18505 +3.932023207e+00 +3.932023207e+00 -4.581579768e+02 -4.581579768e+02 +1.4168e+00 +1.9928e+00
22383 +1.979149524e+00 +1.979149524e+00 -4.601108505e+02 -4.601108505e+02 +1.2985e+00 +2.2909e+00
28894 +1.551543997e+00 +1.551543997e+00 -4.605384560e+02 -4.605384560e+02 +2.2997e+00 +1.9983e+00
32817 +1.321927109e-02 +1.321927109e-02 -4.620767807e+02 -4.620767807e+02 +2.3409e+00 +2.3027e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.998527625e+03 +8.998527625e+03 +9.076187625e+03 +9.076187625e+03 -2.1404e-01 -1.3396e+01
53 +3.253285436e+02 +3.253285436e+02 +4.029885436e+02 +4.029885436e+02 +3.6911e+00 -4.2057e+00
56 +2.496175076e+02 +2.496175076e+02 +3.272775076e+02 +3.272775076e+02 +3.4353e+00 -4.3624e+00
1237 +1.562854155e+02 +1.562854155e+02 +2.339454155e+02 +2.339454155e+02 +2.9546e+00 -4.3415e+00
10315 +9.269005571e+01 +9.269005571e+01 +1.703500557e+02 +1.703500557e+02 -2.5213e+00 +1.5325e+00
12125 +5.692555026e+01 +5.692555026e+01 +1.345855503e+02 +1.345855503e+02 +2.5042e+00 -3.0377e+00
17041 +2.504587847e+01 +2.504587847e+01 +1.027058785e+02 +1.027058785e+02 +2.6061e+00 -2.0078e+00
17551 +1.077548694e+01 +1.077548694e+01 +8.843548694e+01 +8.843548694e+01 +2.3659e+00 -1.7950e+00
18424 +9.196404889e+00 +9.196404889e+00 +8.685640489e+01 +8.685640489e+01 +2.3656e+00 -1.8146e+00
23727 +4.081296498e+00 +4.081296498e+00 +8.174129650e+01 +8.174129650e+01 +2.3840e+00 -1.5368e+00
31396 +1.424288833e+00 +1.424288833e+00 +7.908428883e+01 +7.908428883e+01 +2.3547e+00 -1.1671e+00
35601 +7.218926759e-02 +7.218926759e-02 +7.773218927e+01 +7.773218927e+01 +2.3800e+00 -8.5441e-01
