
                            < M A T L A B (R) >
                  Copyright 1984-2008 The MathWorks, Inc.
                         Version 7.6.0.324 (R2008a)
                             February 10, 2008

 
  To get started, type one of these: helpwin, helpdesk, or demo.
  For product information, visit www.mathworks.com.
 
  f104 in 20-D, instance 11: FEs=200002, fbest-ftarget=1.8584e+00, elapsed time [h]: 0.50
  f104 in 20-D, instance 12: FEs=200003, fbest-ftarget=8.9430e+00, elapsed time [h]: 0.58
  f104 in 20-D, instance 13: FEs=200004, fbest-ftarget=4.8699e-02, elapsed time [h]: 0.68
  f104 in 20-D, instance 14: FEs=200002, fbest-ftarget=1.1337e+01, elapsed time [h]: 0.77
  f104 in 20-D, instance 15: FEs=200001, fbest-ftarget=1.0861e+01, elapsed time [h]: 0.86
      date and time: 2010    3   19   21    0   13
  f105 in 20-D, instance 1: FEs=200003, fbest-ftarget=1.4759e+01, elapsed time [h]: 0.95
  f105 in 20-D, instance 2: FEs=200003, fbest-ftarget=9.7411e+00, elapsed time [h]: 1.04
  f105 in 20-D, instance 3: FEs=200004, fbest-ftarget=1.2613e+01, elapsed time [h]: 1.13
  f105 in 20-D, instance 4: FEs=200002, fbest-ftarget=1.3662e+01, elapsed time [h]: 1.22
  f105 in 20-D, instance 5: FEs=200001, fbest-ftarget=1.4865e+01, elapsed time [h]: 1.27
  f105 in 20-D, instance 6: FEs=200001, fbest-ftarget=9.6004e+00, elapsed time [h]: 1.32
  f105 in 20-D, instance 7: FEs=200003, fbest-ftarget=7.4259e+00, elapsed time [h]: 1.36
  f105 in 20-D, instance 8: FEs=200001, fbest-ftarget=1.2556e+01, elapsed time [h]: 1.40
  f105 in 20-D, instance 9: FEs=200004, fbest-ftarget=1.6510e+01, elapsed time [h]: 1.45
  f105 in 20-D, instance 10: FEs=200002, fbest-ftarget=9.1116e+00, elapsed time [h]: 1.49
  f105 in 20-D, instance 11: FEs=200004, fbest-ftarget=1.5068e+01, elapsed time [h]: 1.53
  f105 in 20-D, instance 12: FEs=200001, fbest-ftarget=9.7455e+00, elapsed time [h]: 1.58
  f105 in 20-D, instance 13: FEs=200001, fbest-ftarget=1.3209e+01, elapsed time [h]: 1.62
  f105 in 20-D, instance 14: FEs=200004, fbest-ftarget=1.5716e+01, elapsed time [h]: 1.67
  f105 in 20-D, instance 15: FEs=200004, fbest-ftarget=1.6098e+01, elapsed time [h]: 1.71
      date and time: 2010    3   19   21   51   23
  f106 in 20-D, instance 1: FEs=17307, fbest-ftarget=-3.6653e-10, elapsed time [h]: 1.72
  f106 in 20-D, instance 2: FEs=17688, fbest-ftarget=-4.5918e-10, elapsed time [h]: 1.72
  f106 in 20-D, instance 3: FEs=16800, fbest-ftarget=-9.1254e-10, elapsed time [h]: 1.72
  f106 in 20-D, instance 4: FEs=18935, fbest-ftarget=-1.4997e-09, elapsed time [h]: 1.73
  f106 in 20-D, instance 5: FEs=21396, fbest-ftarget=-5.2265e-10, elapsed time [h]: 1.74
  f106 in 20-D, instance 6: FEs=14302, fbest-ftarget=-2.9729e-11, elapsed time [h]: 1.74
  f106 in 20-D, instance 7: FEs=7900, fbest-ftarget=-7.9677e-10, elapsed time [h]: 1.74
  f106 in 20-D, instance 8: FEs=13370, fbest-ftarget=-7.4465e-12, elapsed time [h]: 1.75
  f106 in 20-D, instance 9: FEs=17344, fbest-ftarget=-5.1982e-10, elapsed time [h]: 1.75
  f106 in 20-D, instance 10: FEs=17349, fbest-ftarget=-4.2066e-10, elapsed time [h]: 1.76
  f106 in 20-D, instance 11: FEs=16944, fbest-ftarget=-3.3619e-10, elapsed time [h]: 1.76
  f106 in 20-D, instance 12: FEs=16293, fbest-ftarget=-5.2125e-11, elapsed time [h]: 1.77
  f106 in 20-D, instance 13: FEs=17287, fbest-ftarget=-1.0746e-09, elapsed time [h]: 1.77
  f106 in 20-D, instance 14: FEs=34780, fbest-ftarget=-9.3830e-10, elapsed time [h]: 1.78
  f106 in 20-D, instance 15: FEs=9131, fbest-ftarget=-1.1014e-10, elapsed time [h]: 1.78
      date and time: 2010    3   19   21   55   37
  f107 in 20-D, instance 1: FEs=200002, fbest-ftarget=5.0660e+01, elapsed time [h]: 1.82
  f107 in 20-D, instance 2: FEs=200001, fbest-ftarget=9.7570e+01, elapsed time [h]: 1.86
  f107 in 20-D, instance 3: FEs=200001, fbest-ftarget=4.8298e+01, elapsed time [h]: 1.91
  f107 in 20-D, instance 4: FEs=200004, fbest-ftarget=5.7043e+01, elapsed time [h]: 1.95
