% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1885 +8.654800290e-01 +8.654800290e-01 +8.034548003e+01 +8.034548003e+01 +1.1482e+00 -9.0427e-01
2493 +5.807476330e-01 +5.807476330e-01 +8.006074763e+01 +8.006074763e+01 +9.5325e-01 -8.5660e-01
2495 +3.650513947e-01 +3.650513947e-01 +7.984505139e+01 +7.984505139e+01 +7.5616e-01 -8.2261e-01
2699 +1.745504647e-01 +1.745504647e-01 +7.965455046e+01 +7.965455046e+01 +4.2771e-01 -7.7738e-01
3138 +1.352612988e-01 +1.352612988e-01 +7.961526130e+01 +7.961526130e+01 +5.2262e-01 -9.0688e-01
3139 +7.632160571e-02 +7.632160571e-02 +7.955632161e+01 +7.955632161e+01 +4.7755e-01 -9.9615e-01
3342 +3.133473919e-02 +3.133473919e-02 +7.951133474e+01 +7.951133474e+01 +4.0229e-01 -1.0620e+00
3343 +6.347872680e-03 +6.347872680e-03 +7.948634787e+01 +7.948634787e+01 +3.2702e-01 -1.1278e+00
3344 +1.361006168e-03 +1.361006168e-03 +7.948136101e+01 +7.948136101e+01 +2.5176e-01 -1.1937e+00
5541 +2.645154000e-04 +2.645154000e-04 +7.948026452e+01 +7.948026452e+01 +2.5700e-01 -1.1411e+00
9474 +7.710148937e-05 +7.710148937e-05 +7.948007710e+01 +7.948007710e+01 +2.4545e-01 -1.1616e+00
16737 +5.248373928e-05 +5.248373928e-05 +7.948005248e+01 +7.948005248e+01 +2.5918e-01 -1.1534e+00
18542 +9.199669776e-06 +9.199669776e-06 +7.948000920e+01 +7.948000920e+01 +2.5097e-01 -1.1592e+00
% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.197297506e+02 +1.197297506e+02 +1.992097506e+02 +1.992097506e+02 +6.0936e+00 +8.0961e+00
13 +1.453794573e+01 +1.453794573e+01 +9.401794573e+01 +9.401794573e+01 +1.3096e+00 +2.5067e+00
228 +9.729517440e+00 +9.729517440e+00 +8.920951744e+01 +8.920951744e+01 +1.4368e+00 +1.7290e+00
997 +6.290307514e+00 +6.290307514e+00 +8.577030751e+01 +8.577030751e+01 +1.1917e+00 +1.1689e+00
